#type    ,   avg  ,   std   ,  min   ,   p5   ,  p10  ,   p50  ,   p67  ,   p75  ,   p80  ,   p85  ,   p90  ,   p95  ,   p99  ,  p999 ,  p9999  ,   QPS   ,target
read     ,190.1,96.7,74.4,127.2,138.6,183.5,201.1,211.4,218.0,227.5,238.3,259.2,310.8,1687.1,3846.7,4983.0,5000
read     ,199.2,87.3,68.9,117.4,132.3,194.3,216.0,228.4,236.7,248.5,262.9,284.7,336.0,1098.6,3920.7,10004.4,10000
read     ,225.1,67.5,74.4,116.3,135.0,225.3,252.6,267.4,277.3,290.0,305.7,329.8,384.9,548.9,867.9,15054.0,15000
read     ,223.0,91.4,68.9,112.1,126.7,220.8,251.8,267.7,278.5,291.8,309.2,336.0,401.0,1477.2,2675.2,19871.8,20000
read     ,242.1,94.0,68.9,116.2,132.6,240.2,275.5,293.5,306.6,320.7,340.8,371.5,475.1,665.7,3252.3,24911.4,25000
read     ,281.6,289.0,63.8,112.6,129.5,253.2,295.0,317.9,335.5,357.2,391.0,477.9,1029.5,3613.1,11140.1,30036.2,30000
read     ,455.8,477.0,68.9,121.8,150.8,321.6,423.0,498.1,557.6,657.6,848.3,1365.9,2411.1,5716.5,8058.9,35161.2,35000
read     ,460.7,455.7,68.9,125.8,158.5,341.4,450.0,517.7,575.2,658.0,808.8,1207.9,2388.5,5015.6,7992.9,40131.2,40000
read     ,450.9,401.0,63.8,129.4,164.0,353.0,465.7,530.4,582.0,653.6,772.9,1051.2,2046.9,3705.2,7993.9,44773.5,45000
read     ,609.4,643.6,68.9,134.8,175.8,431.1,599.6,735.2,825.6,931.1,1191.9,1718.5,2903.1,7819.7,9458.2,49919.0,50000
read     ,697.1,560.2,68.9,179.3,236.3,590.7,770.4,858.9,921.2,1016.2,1203.1,1596.8,2802.0,7441.2,8132.0,55262.0,55000
read     ,808.1,583.5,68.9,206.8,278.1,772.2,884.9,942.7,1007.1,1097.7,1277.2,1679.9,2881.9,7602.9,8116.3,59991.7,60000
read     ,1824.9,1274.5,86.8,687.0,726.3,1280.9,2602.2,2725.1,2804.0,2886.2,2968.4,3490.0,7674.4,8450.7,11291.0,38033.6,65000
read     ,1858.5,1272.3,109.4,696.5,737.5,1480.8,2614.6,2738.8,2818.5,2899.7,2980.8,3529.7,7669.8,8134.0,10206.4,37368.2,70000
read     ,1882.1,1287.5,160.7,702.1,747.2,1543.0,2619.5,2758.6,2834.3,2908.2,2982.1,3537.0,7703.5,8529.1,10999.7,37047.7,75000
read     ,1859.9,1278.8,80.4,702.7,744.1,1484.9,2612.7,2746.6,2823.9,2898.6,2973.3,3536.5,7693.4,8522.6,11235.9,37428.6,80000